winery;wine;year;rating;num_reviews;country;region;price;type;body;acidity
Pittacum;Aurea;2012;04. Mrz;133;Espana;Bierzo;28. Mai;Mencia;3;3
Bodega Sommos;Coleccion Syrah;2017;04. Mrz;133;Espana;Somontano;25.89;Syrah;4;3
Celler de Capcanes;Flor de Primavera Peraj Ha'abib;2018;04. Mrz;133;Espana;Montsant;27. Mai;Montsant Red;4;3
Losada;Altos de Losada El Cepon;2017;04. Mrz;132;Espana;Bierzo;35.9;Mencia;3;3
Remelluri;Rioja Blanco;2013;04. Mrz;131;Espana;Rioja;63.53;Rioja White;3;3
Arinzano;Gran Vino Blanco;2014;04. Mrz;131;Espana;Arinzano;112.76;Chardonnay;4;3
Pago del Vostal;Crianza Vendimia Seleccionada;2018;04. Mrz;130;Espana;Ribera del Duero;18.95;Ribera Del Duero Red;5;3
De Muller;Vermouth Reserva;N.V.;04. Mrz;129;Espana;Tarragona;Okt 45;NA;NA;NA
Vizcarra;Ribera del Duero Torralvo;2015;04. Mrz;128;Espana;Ribera del Duero;40.95;Ribera Del Duero Red;5;3
Telmo Rodriguez;Matallana;2016;04. Mrz;128;Espana;Ribera del Duero;39.75;Ribera Del Duero Red;5;3
Bodegas Valduero;Finca Azaya Premium;2015;04. Mrz;128;Espana;Castilla y Leon;23.44;Ribera Del Duero Red;5;3
Espectacle del Montsant;Tinto;2015;04. Mrz;127;Espana;Montsant;133.34;Montsant Red;4;3
Neo;Ribera del Duero Tinto;2005;04. Mrz;126;Espana;Ribera del Duero;35;Ribera Del Duero Red;5;3
Martinet;Clos Martinet;2018;04. Mrz;125;Espana;Priorato;57.5;Priorat Red;4;3
Habla;No. 20;2016;04. Mrz;124;Espana;Extremadura;23.95;Red;4;3
Remelluri;Rioja Blanco;2011;04. Mrz;123;Espana;Rioja;77.9;Rioja White;3;3
Gomez Cruzado;Montes Obarenes Seleccion Terroir;2015;04. Mrz;122;Espana;Rioja;97.35;Rioja White;3;3
Martinet;Els Escurcons;2015;04. Mrz;122;Espana;Priorato;84.95;Priorat Red;4;3
Mas d'en Gil;Clos Fonta Priorat;2015;04. Mrz;122;Espana;Priorato;53.9;Priorat Red;4;3
Rodriguez de Vera;Tinto;2015;04. Mrz;122;Espana;Almansa;Dez 19;Red;4;3
Callejuela;La Casilla Amontillado;N.V.;04. Mrz;122;Espana;Jerez-Xeres-Sherry;43.95;Sherry;4;3
El Maestro Sierra;Palo Cortado;N.V.;04. Mrz;119;Espana;Jerez Palo Cortado;85.4;Sherry;4;3
Torre de Ona;Martelo Reserva;2015;04. Mrz;119;Espana;Rioja;23.43;Rioja Red;4;3
Cims de Porrera;Classic;2010;04. Mrz;118;Espana;Priorato;43.24;Priorat Red;4;3
Bodegas Naluar & Acediano;Acediano;2018;04. Mrz;120;Espana;Ribera del Duero;35;Ribera Del Duero Red;5;3
Ostatu;Gloria Rioja;2010;04. Mrz;117;Espana;Rioja Alavesa;54.52;Rioja Red;4;3
Paco & Lola;Vintage Albarino;2013;04. Mrz;117;Espana;Rias Baixas;24;Albarino;3;3
Valdespino;Cardenal Palo Cortado VORS;N.V.;04. Mrz;116;Espana;Jerez Palo Cortado;176.5;Sherry;4;3
Pago de Vallegarcia;Vallegarcia Viognier;2019;04. Mrz;114;Espana;Castilla;18. Mai;NA;NA;NA
Valtravieso;Finca la Atalaya Reserva;2017;04. Mrz;114;Espana;Ribera del Duero;23. Mai;Ribera Del Duero Red;5;3
Bodegas Amaren;Tempranillo Reserva;2002;04. Mrz;112;Espana;Rioja;28;Rioja Red;4;3
Vinas del Vero;Blecua Somontano;2011;04. Mrz;112;Espana;Somontano;73.9;Red;4;3
Clos Mogador;Priorat;2000;04. Mrz;111;Espana;Priorato;100;Priorat Red;4;3
Contino;Rioja Graciano;2017;04. Mrz;111;Espana;Rioja;62.9;Rioja Red;4;3
Artadi;Grandes Anadas Rioja;1999;04. Mrz;111;Espana;Rioja;265;Rioja Red;4;3
Costers del Priorat;Clos Cypres Vinyes Velles (Old Vines);2015;04. Mrz;111;Espana;Priorato;49;Priorat Red;4;3
Eulogio Pomares;Castineiro Albarino;2017;04. Mrz;111;Espana;Rias Baixas;30.75;Albarino;3;3
Bodegas Urium;Amontillado V.O.R.S;N.V.;04. Mrz;110;Espana;Jerez Amontillado;50;Sherry;4;3
Bodega Otazu;Altar;2008;04. Mrz;109;Espana;Navarra;32.18;Red;4;3
Perez Barquero;Gran Barquero Palo Cortado Solera 25 Anos;N.V.;04. Mrz;108;Espana;Montilla-Moriles;34.9;NA;NA;NA
Bodega Elias Mora;Toro Gran Elias Mora;2014;04. Mrz;108;Espana;Toro;33.5;Toro Red;5;3
Dominio de Es;Vinas Viejas de Soria Ribera Del Duero;2015;04. Mrz;108;Espana;Ribera del Duero;92.24;Ribera Del Duero Red;5;3
Arinzano;Gran Vino Blanco;2004;04. Mrz;108;Espana;Arinzano;52.95;Chardonnay;4;3
Oller del Mas;Arnau Oller Seleccio de la Familia;2016;04. Mrz;108;Espana;Pla de Bages;33.15;Red;4;3
Bodegas Roda;Roda Reserva Rioja;2018;04. Mrz;108;Espana;Rioja;24.51;Rioja Red;4;3
Finca Villacreces;Nebro Ribera del Duero;2009;04. Mrz;107;Espana;Ribera del Duero;135.95;Ribera Del Duero Red;5;3
Pujanza;Rioja Norte;2011;04. Mrz;106;Espana;Rioja;46.9;Rioja Red;4;3
Toro Albala;Don PX Gran Reserva;1988;04. Mrz;104;Espana;Montilla-Moriles;19. Aug;Pedro Ximenez;5;1
Cims de Porrera;Classic;2011;04. Mrz;102;Espana;Priorato;39.51;Priorat Red;4;3
Cims de Porrera;Classic;1997;04. Mrz;102;Espana;Priorato;119.95;Priorat Red;4;3
R. Lopez de Heredia;Vina Tondonia Reserva;1964;04. Mrz;101;Espana;Rioja;249;Rioja Red;4;3
Descendientes de J. Palacios;Las Lamas Bierzo (Corullon);2016;04. Mrz;100;Espana;Bierzo;95.25;Mencia;3;3
Alta Alella;Orbus;2016;04. Mrz;100;Espana;Alella;24.95;Syrah;4;3
Losada;La Bienquerida;2015;04. Mrz;100;Espana;Bierzo;36.91;Mencia;3;3
Terroir Al Limit Soc. Lda;Les Manyes;2014;04. Mrz;99;Espana;Priorato;158.88;Priorat Red;4;3
Alvaro Palacios;Finca Dofi;2003;04. Mrz;99;Espana;Priorato;90.6;Priorat Red;4;3
Bodegas Clunia;Malbec;2018;04. Mrz;99;Espana;Castilla y Leon;24. Sep;Red;4;3
Losada;Altos de Losada;2019;04. Mrz;97;Espana;Bierzo;18.35;Mencia;3;3
Arinzano;Gran Vino Blanco;2016;04. Mrz;95;Espana;Arinzano;65.25;Chardonnay;4;3
Campillo;Reserva Especial Rioja;2010;04. Mrz;95;Espana;Rioja;23.95;Rioja Red;4;3
Allende;Aurus;2004;04. Mrz;94;Espana;Rioja;148.65;Rioja Red;4;3
Llanos Negros;La Time;2000;04. Mrz;94;Espana;La Palma;21.95;NA;NA;NA
Quinta Sardonia;QS;2017;04. Mrz;93;Espana;Castilla y Leon;37.49;Red;4;3
Alta Alella;Dolc Mataro;2017;04. Mrz;92;Espana;Alella;16. Mai;NA;NA;NA
Ferrer Bobet;Priorat Vinyes Velles;2018;04. Mrz;94;Espana;Priorato;33.95;Priorat Red;4;3
Bodegas Ochoa;Vendimia Tardia Moscatel;2019;04. Mrz;91;Espana;Navarra;Okt 76;NA;NA;NA
Luis Canas;Hiru 3 Rioja Racimos;2005;04. Mrz;91;Espana;Rioja;118;Rioja Red;4;3
Ca l'Apotecari;Triaca;2013;04. Mrz;90;Espana;Priorato;34.9;Priorat Red;4;3
Muga;Prado Enea Gran Reserva;1982;04. Mrz;90;Espana;Rioja;150;Rioja Red;4;3
Osborne;Amontillado 51-1a 30 Years VORS Sherry;N.V.;04. Mrz;89;Espana;Jerez-Xeres-Sherry;64.8;Sherry;4;3
Finca Torremilanos;Cyclo;2018;04. Mrz;89;Espana;Ribera del Duero;35.15;Ribera Del Duero Red;5;3
Pinea;Tinto;2017;04. Mrz;89;Espana;Ribera del Duero;145;Ribera Del Duero Red;5;3
Josep Grau Viticultor;Maimo Garnatxa;2018;04. Mrz;88;Espana;Montsant;26. Sep;Grenache;5;3
Gomez Cruzado;Montes Obarenes Seleccion Terroir;2017;04. Mrz;88;Espana;Rioja;42.9;Rioja White;3;3
La Rioja Alta;Gran Reserva 890;1989;04. Mrz;88;Espana;Rioja;215.34;Rioja Red;4;3
Fos;Fos Baranda;2017;04. Mrz;87;Espana;Rioja;29. Sep;Rioja Red;NA;NA
Hacienda Grimon;Finca la Oracion;2017;04. Mrz;88;Espana;Rioja;20.45;Rioja Red;NA;NA
Pedralonga;Albarino Pedralonga;2019;04. Mrz;86;Espana;Rias Baixas;15.71;Albarino;NA;NA
Capafons-Osso;Mas de Masos;2006;04. Mrz;86;Espana;Priorato;39.99;Priorat Red;NA;NA
Clos Mogador;Com Tu;2018;04. Mrz;85;Espana;Montsant;34.95;Grenache;NA;NA
Can Rafols dels Caus;El Rocallis;2015;04. Mrz;83;Espana;Cataluna;88;NA;NA;NA
Conreria d'Scala Dei;Iugiter;2015;04. Mrz;83;Espana;Priorato;25. Mai;Priorat Red;NA;NA
Mas Doix;Doix;2016;04. Mrz;83;Espana;Priorato;79.9;Priorat Red;NA;NA
Raul Perez;Ultreia Valtuille Mencia;2019;04. Mrz;83;Espana;Bierzo;45.9;Mencia;NA;NA
Dominio del Bendito;La Chispa Negra;2011;04. Mrz;82;Espana;Toro;24;NA;NA;NA
Jose Pariente;Sauvignon Blanc;2021;04. Mrz;83;Espana;Rueda;08. Sep;Sauvignon Blanc;NA;NA
Dominio del Aguila;Reserva;2010;04. Mrz;82;Espana;Ribera del Duero;65;Ribera Del Duero Red;NA;NA
Terra Remota;Clos Adrien;2013;04. Mrz;82;Espana;Emporda;47;Red;NA;NA
De Moya;Sofia;2017;04. Mrz;82;Espana;Valencia;20. Mai;Red;NA;NA
Llopart;Cava Original Brut (Espumos);2008;04. Mrz;81;Espana;Cava;62.9;Cava;NA;NA
Ostatu;Laderas Rioja;2014;04. Mrz;81;Espana;Rioja Alavesa;31.13;Rioja Red;NA;NA
Tinto Pesquera;Reserva;1995;04. Mrz;81;Espana;Ribera del Duero;73;Ribera Del Duero Red;NA;NA
Bodegas Mas Alta;La Basseta;2014;04. Mrz;80;Espana;Priorato;58;Priorat Red;NA;NA
Can Rafols dels Caus;El Rocallis;2016;04. Mrz;80;Espana;Cataluna;34.5;NA;NA;NA
Aalto;Blanco de Parcela;2019;04. Mrz;80;Espana;Ribera del Duero;41.9;Verdejo;NA;NA
Dominio de la Vega;Finca la Beata Bobal;2014;04. Mrz;80;Espana;Utiel-Requena;33.9;Red;NA;NA
Resalte;Resalte Expresion;2015;04. Mrz;80;Espana;Ribera del Duero;28. Mai;Ribera Del Duero Red;NA;NA
Juve & Camps;Cava Brut Milesime;2017;04. Mrz;80;Espana;Cava;24. Jan;Cava;NA;NA
Bosque de Matasnos;Syrah de Matasnos;2019;04. Mrz;80;Espana;Vino de Espana;27. Sep;Syrah;NA;NA
Sierra Cantabria;Amancio;2016;04. Mrz;80;Espana;Rioja;84.5;Rioja Red;NA;NA
Scala Dei;Massipa de Scala Dei Garnatxa Blanca - Xenin;2018;04. Mrz;79;Espana;Priorato;36.78;NA;NA;NA
Marques de Vargas;Seleccion Privada;2015;04. Mrz;79;Espana;Rioja;54.5;Rioja Red;4;3
Mas de les Pereres;Nunci Negre;2013;04. Mrz;79;Espana;Priorato;21. Apr;Priorat Red;4;3
El Maestro Sierra;Oloroso Extra Viejo 1/7;N.V.;04. Mrz;78;Espana;Jerez-Xeres-Sherry;217.8;Sherry;4;3
Guilera;Musivari Gran Reserva Brut Nature;2007;04. Mrz;77;Espana;Cava;23.22;Sparkling;2;3
Arzuaga;Amaya Arzuaga (Coleccion);2015;04. Mrz;77;Espana;Ribera del Duero;51.2;Ribera Del Duero Red;5;3
Astrales;Christina Ribera del Duero;2017;04. Mrz;77;Espana;Ribera del Duero;38;Ribera Del Duero Red;5;3
Bodega Contador (Benjamin Romeo);La Cueva del Contador Rioja;2018;04. Mrz;77;Espana;Rioja;67.9;Rioja Red;4;3
Senorio de San Vicente;San Vicente Rioja;2018;04. Mrz;77;Espana;Rioja;32.9;Rioja Red;4;3
Bodegas Faustino;Faustino de Autor Reserva Especial;1994;04. Mrz;76;Espana;Rioja;45;Rioja Red;4;3
La Rioja Alta;Rioja Gran Reserva 904;1964;04. Mrz;76;Espana;Rioja;260;Rioja Red;4;3
l'Infernal Combier Fischer Gerin;Vinas Viejas Aguilera;2010;04. Mrz;76;Espana;Priorato;69;Priorat Red;4;3
Muga;Prado Enea Gran Reserva;1985;04. Mrz;75;Espana;Rioja;98;Rioja Red;4;3
Terroir Al Limit Soc. Lda;Les Manyes;2013;04. Mrz;74;Espana;Priorato;348.85;Priorat Red;4;3
Scala Dei;Pla dels Angels Rosado;2020;04. Mrz;74;Espana;Priorato;23.95;NA;NA;NA
Jorge Piernas;Juan Piernas Finca El Paso Malo Monastrell;2017;04. Mrz;74;Espana;Murcia;27. Sep;Monastrell;5;3
Pedralonga;Albarino Pedralonga;2020;04. Mrz;74;Espana;Rias Baixas;15;Albarino;3;3
Contino;Vina del Olivo;2004;04. Mrz;74;Espana;Rioja;155;Rioja Red;4;3
Terroir Al Limit Soc. Lda;Pedra de Guix;2017;04. Mrz;73;Espana;Priorato;57.9;NA;NA;NA
Vinyes Domenech;Vinyes Velles de Samso;2016;04. Mrz;73;Espana;Montsant;36.93;Montsant Red;4;3
Territorio Luthier;Hispania;2015;04. Mrz;73;Espana;Ribera del Duero;52;Ribera Del Duero Red;5;3
Abel Mendoza Monge;Malvasia;2017;04. Mrz;72;Espana;Rioja;31. Mai;Rioja White;3;3
Clos Erasmus;Priorat;2006;04. Mrz;72;Espana;Priorato;654.31;Priorat Red;4;3
La Rioja Alta;Vina Ardanza Reserva;1985;04. Mrz;72;Espana;Rioja;75;Rioja Red;4;3
Equipo Navazos;La Bota 69 de Amontillado;N.V.;04. Mrz;72;Espana;Jerez-Xeres-Sherry;113.72;Sherry;4;3
Avgvstvs;Antigues Reserves;2000;04. Mrz;72;Espana;Penedes;27.45;Red;4;3
Vina Sastre;Regina Vides Ribera del Duero;2018;04. Mrz;71;Espana;Ribera del Duero;69.9;Ribera Del Duero Red;5;3
Marques de Riscal;Baron de Chirel Verdejo Vinas Centenarias;2018;04. Mrz;71;Espana;Castilla y Leon;40.5;Verdejo;3;3
Pago Calzadilla;Gran Calzadilla;2009;04. Mrz;70;Espana;Pago Calzadilla;39.95;Red;4;3
Vina Pomal;Alto de la Caseta;2008;04. Mrz;70;Espana;Rioja;55.45;Rioja Red;4;3
Martinet;Clos Martinet;2002;04. Mrz;70;Espana;Priorato;177.45;Priorat Red;4;3
Marti Fabra;Masia Carreras Negre;2019;04. Mrz;69;Espana;Emporda;Nov 91;Red;4;3
Sangenis I Vaque;Clos Monlleo;2007;04. Mrz;68;Espana;Priorato;54.95;Priorat Red;4;3
Ferrer Bobet;Priorat;2018;04. Mrz;68;Espana;Priorato;25.88;Priorat Red;4;3
Figuero;Milagros de Figuero;2016;04. Mrz;68;Espana;Ribera del Duero;34.85;Ribera Del Duero Red;5;3
Balandro;Las Botas Palo Cortado Horizontal;N.V.;04. Mrz;67;Espana;Manzanilla;37;Sherry;4;3
Pujanza;Rioja Norte;2006;04. Mrz;67;Espana;Rioja;75;Rioja Red;4;3
M. Antonio de la Riva;La Riva Fino Balbaina Alta;N.V.;04. Mrz;67;Espana;Jerez-Xeres-Sherry;47.45;Sherry;4;3
Espelt;Coma Bruna;2017;04. Mrz;67;Espana;Emporda;22. Aug;Red;4;3
R. Lopez de Heredia;Vina Tondonia Gran Reserva;1981;04. Mrz;66;Espana;Rioja;199;Rioja Red;4;3
Bodegas Arfe;Palo Cortado de la Cruz de 1767;N.V.;04. Mrz;66;Espana;Jerez-Xeres-Sherry;59.9;Sherry;4;3
Abel Mendoza Monge;Grano a Grano Tempranillo;2016;04. Mrz;65;Espana;Rioja;120.13;Rioja Red;4;3
Conreria d'Scala Dei;Voltons;2015;04. Mrz;64;Espana;Priorato;47;Priorat Red;4;3
Scala Dei;Masdeu;2014;04. Mrz;64;Espana;Priorato;84.9;Priorat Red;4;3
Real de Asua;Tinto;2016;04. Mrz;64;Espana;Rioja;78.95;Rioja Red;4;3
Bodegas Vilano;Crianza;2019;04. Mrz;64;Espana;Ribera del Duero;Sep 99;Ribera Del Duero Red;5;3
Vinyes dels Aspres;S'Alou;2018;04. Mrz;64;Espana;Emporda;31. Mai;Red;4;3
Altos de Rioja;Altos R Pigeage;2016;04. Mrz;63;Espana;Rioja;29.95;Rioja Red;4;3
Scala Dei;Massipa de Scala Dei Garnatxa Blanca - Xenin;2019;04. Mrz;62;Espana;Priorato;36.95;NA;NA;NA
Valserrano;Finca Monteviejo;2017;04. Mrz;62;Espana;Rioja;32;Rioja Red;4;3
Marques de Tomares;Rioja Gran Reserva;2014;04. Mrz;62;Espana;Rioja;25.95;Red;4;3
Shaya;Habis;2018;04. Mrz;62;Espana;Rueda;21. Mai;Verdejo;3;3
Finca Rio Negro;5o Ano;2014;04. Mrz;62;Espana;La Mancha;233.863.295;Red;4;3
Allende;Gaminde;2016;04. Mrz;62;Espana;Rioja;43.8;Rioja Red;4;3
Enric Soler;Nun Vinya dels Taus;2017;04. Mrz;62;Espana;Penedes;123.75;NA;NA;NA
Martinet;Els Escurcons;2018;04. Mrz;61;Espana;Priorato;75.5;Priorat Red;4;3
Bodegas Ximenez-Spinola;Varietal Fermentacion Lenta;2019;04. Mrz;61;Espana;Jerez-Xeres-Sherry;29. Sep;Pedro Ximenez;5;1
Loxera;El Cordero y las Virgenes;2016;04. Mrz;60;Espana;Valencia;24;Red;4;3
Mas d'en Gil;Clos Fonta Priorat;2001;04. Mrz;60;Espana;Priorato;150;Priorat Red;4;3
Jose Pariente;Finca Las Comas Verdejo;2016;04. Mrz;60;Espana;Rueda;29. Apr;Verdejo;3;3
Alvaro Palacios;Finca Dofi;1997;04. Mrz;60;Espana;Priorato;170;Priorat Red;4;3
Artadi;La Poza de Ballesteros;2016;04. Mrz;60;Espana;Vino de Espana;93.26;Tempranillo;4;2
Dominio de Es;Vinas Viejas de Soria Ribera Del Duero;2019;04. Mrz;59;Espana;Ribera del Duero;75.95;Ribera Del Duero Red;5;3
Dominio Fournier;Reserva;2014;04. Mrz;59;Espana;Ribera del Duero;23.77;Ribera Del Duero Red;5;3
Bodegas Yzaguirre;Selection 1884 Vermouth Gran Reserva;N.V.;04. Mrz;57;Espana;Cataluna;27. Nov;NA;NA;NA
Benjamin de Rothschild - Vega Sicilia;Macan Clasico;2018;04. Mrz;57;Espana;Rioja;42.5;Rioja Red;4;3
Marques de Murrieta;Dalmau Rioja;2002;04. Mrz;57;Espana;Rioja;75;Rioja Red;4;3
Valderiz;Tomas Esteban;2010;04. Mrz;57;Espana;Ribera del Duero;68.99;Ribera Del Duero Red;5;3
Tridente;Prieto Picudo;2018;04. Mrz;57;Espana;Castilla y Leon;21.95;Red;4;3
Neton;Garnacha Tintorera;2017;04. Mrz;57;Espana;Castilla y Leon;13.237.545;Red;4;3
Finca Torremilanos;Penalba Lopez Blanco;2019;04. Mrz;57;Espana;Castilla y Leon;13.65;NA;NA;NA
Enate;Cabernet;2012;04. Mrz;57;Espana;Somontano;23. Mai;Red;4;3
Pradorey;El Cuentista;2018;04. Mrz;57;Espana;Ribera del Duero;17. Sep;NA;NA;NA
Vall Llach;Porrera Vi de Vila;2018;04. Mrz;56;Espana;Priorato;49.95;Priorat Red;4;3
Terroir Al Limit Soc. Lda;Les Manyes;2011;04. Mrz;56;Espana;Priorato;348.85;Priorat Red;4;3
Bodega Aida i Luis;Tahulla Moscatel Blanco Seco;2018;04. Mrz;56;Espana;Alicante;Nov 95;NA;NA;NA
Valderiz;Juegabolos;2017;04. Mrz;56;Espana;Ribera del Duero;28. Jun;Ribera Del Duero Red;5;3
Abadal;03. Sep;2018;04. Mrz;56;Espana;Pla de Bages;21. Mrz;Red;4;3
Raul Perez;Sketch;2019;04. Mrz;56;Espana;Rias Baixas;44.95;Albarino;3;3
Portal del Priorat;Clos del Portal Somni;2008;04. Mrz;55;Espana;Priorato;36.3;Priorat Red;4;3
Baigorri;De Garage Rioja;2017;04. Mrz;55;Espana;Rioja;32;Rioja Red;4;3
Cartoixa de Montsalvat;Montsalvat;2007;04. Mrz;54;Espana;Priorato;39.712.635;Priorat Red;4;3
Clos Galena;Galena;2018;04. Mrz;54;Espana;Priorato;17. Sep;Priorat Red;4;3
Bodega Ribas;Sio Negre;2019;04. Mrz;53;Espana;Mallorca;39.9;Red;4;3
Allende;Aurus;2001;04. Mrz;53;Espana;Rioja;140;Rioja Red;4;3
Enate;Chardonnay Uno;2012;04. Mrz;53;Espana;Somontano;249.95;Chardonnay;4;3
El Lagar de Isilla;Vendimia Seleccionada;2015;04. Mrz;53;Espana;Ribera del Duero;28.83;Ribera Del Duero Red;5;3
Finca Villacreces;Nebro Ribera del Duero;2013;04. Mrz;53;Espana;Ribera del Duero;196.29;Ribera Del Duero Red;5;3
Bodega Otazu;Pago de Otazu Chardonnay Con Crianza;2018;04. Mrz;53;Espana;Otazu;28. Apr;Chardonnay;4;3
Jose Pariente;Verdejo Fermentado en Barrica;2020;04. Mrz;53;Espana;Rueda;14. Mai;Verdejo;3;3
La Rioja Alta;Rioja Gran Reserva 904;1970;04. Mrz;53;Espana;Rioja;260;Rioja Red;4;3
Toro Albala;Don PX Pedro Ximenez;1999;04. Mrz;52;Espana;Montilla-Moriles;36.9;Pedro Ximenez;5;1
Cervoles;Vinyes Altes de Les Garrigues Vi Blanc;2019;04. Mrz;52;Espana;Costers del Segre;25. Aug;NA;NA;NA
Anibal de Otero;Vina Centenaria Mencia;2014;04. Mrz;52;Espana;Bierzo;38;Mencia;3;3
Familia Torres;Grans Muralles;2017;04. Mrz;52;Espana;Conca de Barbera;137.75;Red;4;3
Costers del Siurana;Clos de L'Obac;2009;04. Mrz;51;Espana;Priorato;79.9;Priorat Red;4;3
Bodegas San Roman;Malvasia;2017;04. Mrz;51;Espana;Castilla;41.5;NA;NA;NA
Finca Rio Negro;Cerro del Lobo Syrah;2018;04. Mrz;51;Espana;Castilla;24. Mai;Syrah;4;3
Cervoles;Estrats;2012;04. Mrz;51;Espana;Costers del Segre;68.55;Red;4;3
Scala Dei;Masdeu;2016;04. Mrz;51;Espana;Priorato;81.35;Priorat Red;4;3
Vina Sastre;Regina Vides Ribera del Duero;2001;04. Mrz;50;Espana;Ribera del Duero;121.5;Ribera Del Duero Red;5;3
Vizcarra;Celia;2014;04. Mrz;50;Espana;Ribera del Duero;79.98;Ribera Del Duero Red;5;3
Marques de Caceres;Gaudium;1998;04. Mrz;50;Espana;Rioja;60;Rioja Red;4;3
Barahonda;Summum Monastrell;2019;04. Mrz;50;Espana;Yecla;13.99;Monastrell;5;3
Mas Doix;Doix;2002;04. Mrz;49;Espana;Priorato;195.52;Priorat Red;4;3
Altos del Enebro;Finca La Herradura;2014;04. Mrz;49;Espana;Ribera del Duero;68;Ribera Del Duero Red;5;3
Pago de Larrainzar;Reserva Especial;2014;04. Mrz;49;Espana;Navarra;16. Sep;Red;4;3
Albamar;Alma de Mar Albarino;2019;04. Mrz;49;Espana;Rias Baixas;27. Mai;Albarino;3;3
Williams & Humbert;Canasta 20 Anos Cream;N.V.;04. Mrz;49;Espana;Jerez-Xeres-Sherry;29.25;Pedro Ximenez;5;1
Pujanza;Rioja Anadas Frias;2016;04. Mrz;49;Espana;Rioja;75;Rioja White;3;3
Finca Rio Negro;5o Ano;2016;04. Mrz;49;Espana;La Mancha;23. Sep;Red;4;3
Oxer Wines;Suzzane Rioja;2019;04. Mrz;48;Espana;Rioja;34.9;Rioja Red;4;3
Marques de Murrieta;Castillo Ygay Gran Reserva Especial Tinto;1925;04. Mrz;48;Espana;Rioja;532;Rioja Red;4;3
Dominio de Atauta;Llanos del Almendro Ribera del Duero;2010;04. Mrz;48;Espana;Ribera del Duero;95;Ribera Del Duero Red;5;3
Can Bas;Monreal;2015;04. Mrz;48;Espana;Penedes;44.1;Red;4;3
Atlantida;Blanco;2019;04. Mrz;48;Espana;Cadiz;17. Jul;NA;NA;NA
Atlan & Artisan;8 Vents Mallorca;2019;04. Mrz;47;Espana;Mallorca;18. Sep;Red;4;3
Venus la Universal;Venus;2017;04. Mrz;47;Espana;Montsant;35.35;Montsant Red;4;3
La Rioja Alta;Gran Reserva 890;1981;04. Mrz;47;Espana;Rioja;270;Rioja Red;4;3
Olivardots;Vd'O 1 Samso - Pissarra;2012;04. Mrz;46;Espana;Emporda;34.95;Red;4;3
Terroir Al Limit Soc. Lda;Les Manyes;2012;04. Mrz;46;Espana;Priorato;348.85;Priorat Red;4;3
Lar de Paula;Tempranillo Reserva;2012;04. Mrz;46;Espana;Rioja;14. Sep;Rioja Red;4;3
Venta Las Vacas;La Cuartilleja Reserva;2015;04. Mrz;46;Espana;Ribera del Duero;39.7;Ribera Del Duero Red;5;3
Juve & Camps;Cava Gran Reserva La Capella Brut;2010;04. Mrz;46;Espana;Cava;75.5;Cava;2;3
Bodega Contador (Benjamin Romeo);Coleccion No. 3 Cosecha;2014;04. Mrz;45;Espana;Rioja;189.9;Rioja Red;4;3
Luis Canas;Rioja Gran Reserva;2016;04. Mrz;45;Espana;Rioja;21. Jan;Rioja Red;4;3
La Val;Albarino Sobre Lias;2015;04. Mrz;45;Espana;Rias Baixas;23. Sep;Albarino;3;3
Tres Piedras;Nobbis;2019;04. Mrz;45;Espana;Ribera del Duero;12. Aug;Tempranillo;4;2
Raul Perez;Rara Avis Prieto Picudo;2013;04. Mrz;45;Espana;Castilla y Leon;39.95;Red;4;3
Javi Revert;Sensal;2020;04. Mrz;45;Espana;Valencia;22.35;Red;4;3
Bodega Campo Eliseo;Campo Eliseo Blanco;2018;04. Mrz;45;Espana;Rueda;27.25;Verdejo;3;3
Alta Alella;Blanc de Neu;2016;04. Mrz;45;Espana;Alella;16.99;Sparkling;2;3
Contino;Reserva;1995;04. Mrz;45;Espana;Rioja;55;Rioja Red;4;3
Terras Gauda;La Mar;2019;04. Mrz;45;Espana;Rias Baixas;21. Mai;Albarino;3;3
Descendientes de J. Palacios;Las Lamas Bierzo (Corullon);2017;04. Mrz;44;Espana;Bierzo;106.92;Mencia;3;3
Lambuena;Vinas Viejas;2014;04. Mrz;44;Espana;Ribera del Duero;37.065.126;Ribera Del Duero Red;5;3
Tarsus;T3rno Seleccion de 3 Parcelas Ribera del Duero;2017;04. Mrz;44;Espana;Ribera del Duero;38.5;Ribera Del Duero Red;5;3
Bodegas Luis Perez;Fino La Barajuela;2016;04. Mrz;44;Espana;Andalucia;69.95;NA;NA;NA
Marco Abella;Clos Abella Seleccion Especial;2016;04. Mrz;44;Espana;Priorato;43.5;Priorat Red;4;3
Vivanco;Parcelas de Maturana Tinta Coleccion Rioja;2017;04. Mrz;44;Espana;Rioja;36.5;Rioja Red;4;3
Familia Torres;Reserva Real;1998;04. Mrz;43;Espana;Penedes;213.5;Red;4;3
Attis;Attis Embaixador Albarino;2018;04. Mrz;43;Espana;Rias Baixas;21.89;Albarino;3;3
Miguel Merino;Vitola Reserva;2016;04. Mrz;42;Espana;Rioja;21. Sep;Rioja Red;4;3
San Cobate;San Cucufate Monasterio;2017;04. Mrz;42;Espana;Ribera del Duero;33;Ribera Del Duero Red;5;3
Pazo Senorans;Tras Los Muros Albarino;2017;04. Mrz;42;Espana;Rias Baixas;38;Albarino;3;3
Avancia;Godello;2020;04. Mrz;42;Espana;Valdeorras;24.77;NA;NA;NA
